image_path,x1,y1,x2,y2,category,image_id,split,category_old
img/Tulip-Back_Tank/img_00000030.jpg,39,48,137,239,3,53634,test,17
img/Abstract_Print_Twist-Back_Blouse/img_00000062.jpg,38,69,220,300,4,13111,train,3
img/Draped_Shawl_Collar_Cardigan/img_00000063.jpg,22,1,168,300,1,83859,train,6
img/Essential_Knit_Tank/img_00000040.jpg,99,59,202,202,3,87269,train,17
img/Basic_Scoop_Neck_Tank/img_00000001.jpg,58,72,152,229,3,103107,train,17
img/Ornate_Print_Tank/img_00000026.jpg,61,70,146,177,3,126192,train,17
img/Paris_France_Tee/img_00000062.jpg,1,21,213,299,5,128354,val,18
img/Sheer_Moments_Cropped_Tank/img_00000024.jpg,51,131,153,228,3,139580,test,17
img/Wake_Me_Up_Graphic_Tank/img_00000021.jpg,33,48,117,120,3,57255,train,17
img/Fringed_Tribal_Pattern_Cardigan/img_00000031.jpg,1,2,200,288,1,97400,val,6
img/Distressed_Open-Knit_Ombr&eacute;_Sweater/img_00000009.jpg,24,93,176,280,2,81685,train,16
img/Easy_Going_Muscle_Tee/img_00000047.jpg,95,72,213,247,5,85508,train,18
img/Heathered_Shawl_Collar_Cardigan/img_00000072.jpg,1,21,196,285,1,102603,train,6
img/Cable_Knit_Dolman_Cardigan/img_00000033.jpg,1,42,199,295,1,59468,train,6
img/Boxy_Stripe_Sweater/img_00000042.jpg,24,77,202,293,2,37444,test,16
img/Longline_Sleeveless_Sweater/img_00000019.jpg,68,20,148,225,2,114445,train,16
img/Triangle-Patterned_Slub_Knit_Tee/img_00000024.jpg,78,54,133,122,5,52060,val,18
img/Ribbed_Crop_Tee/img_00000026.jpg,21,3,213,274,5,134104,train,18
img/Crochet-Trimmed_Blouse/img_00000029.jpg,29,75,214,268,4,14494,train,3
img/Windowpane-Patterned_Open-Front_Cardigan/img_00000013.jpg,14,81,168,242,1,58665,train,6
img/Buttoned_Pocket_Blouse/img_00000024.jpg,45,72,190,230,4,7571,test,3
img/Faux_Fur_&_Knit_Sweater/img_00000017.jpg,70,17,300,257,2,88686,train,16
img/LA_Palm_Graphic_Tee/img_00000057.jpg,1,22,199,265,5,109452,train,18
img/Purl_Knit_Cardigan/img_00000041.jpg,48,3,254,292,1,131001,test,6
img/Curved_Hem_Racerback_Tank/img_00000054.jpg,60,68,170,266,3,78383,test,17
img/Stripe_Print_Surplice_Blouse/img_00000076.jpg,24,63,161,292,4,2342,train,3
img/Waffle_Knit_Cardigan/img_00000008.jpg,1,21,212,300,1,56832,train,6
img/Langley_Fox_Dreamcatcher_Tank/img_00000014.jpg,31,73,147,187,3,111215,test,17
img/Ornate_Floral_Print_Cardigan/img_00000013.jpg,30,56,152,300,1,126064,train,6
img/American_Flag_Sweater/img_00000012.jpg,2,4,240,271,2,86167,train,16
img/Speckled_Geo-Patterned_Sweater/img_00000001.jpg,31,65,180,262,2,39360,train,16
img/Stop_Following_Me_Tee/img_00000013.jpg,16,1,291,300,5,40630,test,18
img/Crochet-Trimmed_Sweater/img_00000015.jpg,63,70,188,269,2,76662,train,16
img/1981_Graphic_Ringer_Tee/img_00000039.jpg,54,77,161,223,5,32888,train,18
img/Giraffe_Print_Sweater/img_00000040.jpg,72,21,220,207,2,99071,train,16
img/Classic_Crew_Neck_Sweater/img_00000018.jpg,31,45,141,159,2,67256,train,16
img/Ribbed_Knit_Cropped_Sweater/img_00000027.jpg,30,60,173,251,2,134411,train,16
img/Crochet-Paneled_Chiffon_Blouse/img_00000046.jpg,92,58,156,188,4,14304,train,3
img/Curved-Hem_Tank/img_00000027.jpg,14,1,282,300,3,78545,train,17
img/Braided_Crew_Neck_Sweater/img_00000049.jpg,33,66,167,229,2,40595,train,16
img/Bell_Sleeve_Georgette_Blouse/img_00000092.jpg,25,50,261,296,4,25495,train,3
img/Trouble_Sweater/img_00000008.jpg,58,29,99,174,2,53430,train,16
img/Floral_Print_Racerback_Tank/img_00000036.jpg,91,41,158,106,3,94465,val,17
img/Floral_Lace-Paneled_Cardigan/img_00000033.jpg,13,1,282,300,1,94035,val,6
img/Colorblocked_Faux_Leather_Varsity_Jacket/img_00000018.jpg,50,51,189,274,0,72264,train,11
img/Pintucked_Chiffon_Blouse/img_00000073.jpg,34,4,274,291,4,28317,train,3
img/Perfect_Graphic_Tee/img_00000042.jpg,1,3,300,162,5,128726,train,18
img/Tribal_Print_Peasant_Blouse/img_00000070.jpg,53,78,156,203,4,5708,train,3
img/Marled_Maxi_Cardigan/img_00000030.jpg,72,87,136,274,1,117724,train,6
img/V-Neck_Cardigan/img_00000063.jpg,82,84,250,238,1,55337,test,6
img/Southwestern_Print_Racerback_Tank/img_00000020.jpg,104,61,199,240,3,38324,train,17
img/Ruffled_Floral_Chiffon_Blouse/img_00000003.jpg,78,73,238,294,4,31527,train,3
img/Sheer-Paneled_Jersey_Tee/img_00000045.jpg,19,56,156,218,5,33062,test,18
img/Woven_Pocket_Tank/img_00000031.jpg,89,42,223,233,3,58841,train,17
img/Stripe-Pocket_Tank/img_00000010.jpg,4,30,225,283,3,41429,test,17
img/Embroidered_High-Neck_Blouse/img_00000095.jpg,119,62,233,156,4,18155,train,3
img/Cropped_Mock_Neck_Sweater/img_00000062.jpg,44,42,151,159,2,77459,train,16
img/Wander_With_Love_Tank/img_00000020.jpg,70,51,132,139,3,57364,val,17
img/Hooded_Cardigan/img_00000052.jpg,65,1,120,282,1,104560,train,6
img/Trimmed_Pocket_Tank/img_00000025.jpg,76,54,161,162,3,53119,train,17
img/Colorblocked_Cotton_Tee/img_00000032.jpg,25,67,197,283,5,72133,train,18
img/Life_in_Progress_Chambray_Utility_Jacket/img_00000009.jpg,61,54,162,164,0,112477,train,11
img/Draped_Shawl_Collar_Cardigan/img_00000020.jpg,51,22,248,296,1,83816,train,6
img/Faux_Fur_Collar_Cardigan/img_00000055.jpg,34,63,158,300,1,88880,train,6
img/Striped_Geo_Print_Tee/img_00000003.jpg,35,77,203,300,5,43238,train,18
img/Boxy_Open-Knit_Sweater/img_00000059.jpg,27,63,181,236,2,33182,test,16
img/Open_Knit_Textured_Sweater/img_00000015.jpg,17,53,180,288,2,124563,train,16
img/Ribbed_Knit_Cropped_Tank/img_00000011.jpg,61,86,153,215,3,134446,train,17
img/Mandarin_Collar_Blouse/img_00000021.jpg,58,60,262,294,4,25577,train,3
img/Bike_Print_Tee/img_00000012.jpg,25,71,183,267,5,123260,train,18
img/Heathered_Frida_Kahlo_Tee/img_00000015.jpg,33,103,191,261,5,101290,train,18
img/Baroque_Print_Tee/img_00000029.jpg,1,37,200,239,5,99829,train,18
img/Draped_Open-Front_Jacket/img_00000016.jpg,64,42,128,246,0,83697,train,11
img/Racerback_Tank/img_00000058.jpg,26,7,133,213,3,131737,train,17
img/Abstract-Stripe_Fuzzy_Sweater/img_00000009.jpg,1,62,144,271,2,80881,train,16
img/Asymmetric_Zipper_Cardigan/img_00000029.jpg,1,5,220,300,1,90464,train,6
img/Ruffled_Lace-Up_Blouse/img_00000119.jpg,33,67,153,198,4,31722,test,3
img/Longline_Crepe_Jacket/img_00000024.jpg,27,35,122,243,0,113501,train,11
img/Classic_Split-Neck_Blouse/img_00000083.jpg,65,78,157,245,4,11147,train,3
img/Vented_Stripe_Tee/img_00000020.jpg,39,66,166,252,5,56673,val,18
img/Triangle_Print_Chiffon_Blouse/img_00000071.jpg,8,33,200,193,4,5372,train,3
img/Leaf_Print_Tank/img_00000016.jpg,33,1,242,300,3,111854,train,17
img/Striped_Tulip_Back_Tee/img_00000026.jpg,35,85,202,286,5,45809,train,18
img/Mon_Belle_Graphic_Tee/img_00000002.jpg,71,54,186,177,5,121319,train,18
img/Oversized_Striped_Cardigan/img_00000059.jpg,37,61,159,216,1,126768,test,6
img/Abstract_Southwestern_Print_Cardigan/img_00000002.jpg,55,40,147,170,1,76112,test,6
img/Scalloped_Lace_Cardigan/img_00000028.jpg,1,38,300,192,1,137468,val,6
img/French_Terry_Open-Front_Cardigan/img_00000055.jpg,76,76,246,281,1,96468,train,6
img/Favorite_Heathered_Tank/img_00000001.jpg,52,69,154,201,3,92038,train,17
img/Pintuck_Pleated_Blouse/img_00000102.jpg,27,1,281,300,4,28019,train,3
img/Classic_Knit_Cardigan/img_00000042.jpg,1,69,195,220,1,68261,train,6
img/NYC_Graphic_Tee/img_00000003.jpg,1,12,300,132,5,122143,train,18
img/Woven_Open-Back_Blouse/img_00000049.jpg,16,9,188,219,4,8014,train,3
img/Dip-Dye_Sweater/img_00000060.jpg,90,61,212,196,2,80965,train,16
img/Mesh_Racerback_Tank/img_00000022.jpg,110,69,202,227,3,119165,test,17
img/Dainty_Lace_Tee/img_00000032.jpg,50,64,159,205,5,79320,val,18
img/Guns_N_Roses_Muscle_Tee/img_00000021.jpg,28,13,209,290,5,99684,train,18
img/Watercolor_Abstract_Print_Blouse/img_00000084.jpg,1,81,204,278,4,7183,train,3
img/Fringed_Crochet_Tank/img_00000012.jpg,27,1,278,263,3,96889,train,17
img/Semi-Sheer_Racerback_Tank/img_00000029.jpg,47,66,124,191,3,138524,train,17
img/Basic_Athletic_Racerback_Tank/img_00000019.jpg,97,70,198,242,3,100996,test,17
img/Quilted_Bomber_Jacket/img_00000060.jpg,104,33,200,200,0,131233,train,11
img/Marled_Knit_Hooded_Sweater/img_00000013.jpg,18,84,190,250,2,117374,train,16
img/Classic_Racerback_Tank/img_00000056.jpg,1,1,179,300,3,69022,train,17
img/Chevron_Pattern_Cardigan/img_00000016.jpg,1,125,200,300,1,63666,train,6
img/Dotted_Crepe_Blouse/img_00000028.jpg,45,75,194,202,4,16462,train,3
img/EPTM._Heathered_Mesh_Panel_Tee/img_00000013.jpg,1,104,300,300,5,84899,train,18
img/Chiffon_Paneled_Sweater/img_00000027.jpg,71,61,239,287,2,64381,train,16
img/Striped_Heathered_Tee/img_00000004.jpg,12,35,194,265,5,43288,val,18
img/Faux-Fur_Trimmed_Puffer_Parka/img_00000060.jpg,78,36,170,196,0,91966,train,13
img/Cutout_Back_Striped_Sweater/img_00000016.jpg,1,115,184,300,2,78696,val,16
img/Classic_Distressed_Denim_Jacket/img_00000036.jpg,16,87,184,273,0,67632,train,11
img/Collared_Luxe_Faux_Fur_Jacket/img_00000055.jpg,30,69,287,292,0,70815,train,11
img/Snap_Collar_Moto_Jacket/img_00000042.jpg,1,10,217,299,0,36735,test,11
img/Faux_Fur_&_Knit_Sweater/img_00000013.jpg,105,26,300,201,2,88682,train,16
img/Floral-Embroidered_Bomber_Jacket/img_00000055.jpg,1,43,240,297,0,95180,train,11
img/Marled_Crew_Neck_Sweater/img_00000021.jpg,32,51,177,230,2,116763,train,16
img/Buttoned_Eyelet_Tank/img_00000003.jpg,59,46,123,158,3,55777,train,17
img/Marled-Stripe_V-Neck_Cardigan/img_00000003.jpg,15,95,178,245,1,118209,test,6
img/Marled_Open-Front_Cardigan/img_00000004.jpg,45,82,189,264,1,117794,train,6
img/Mixed_Knit_Cardigan/img_00000050.jpg,24,57,169,288,1,120897,train,6
img/Chunky_Knit_Longline_Cardigan/img_00000049.jpg,62,44,147,199,1,65332,train,6
img/Rhinestoned_&_Beaded_Blouse/img_00000009.jpg,82,96,224,261,4,30536,train,3
img/Striped_Colorblock_Tank/img_00000042.jpg,1,15,228,265,3,42340,train,17
img/Southwestern_Print_Tank/img_00000014.jpg,54,79,150,188,3,38401,train,17
img/Southwestern-Patterned_Fringe_Cardigan/img_00000012.jpg,18,63,192,250,1,38841,train,6
img/Textured_Knit_Cardigan/img_00000025.jpg,1,1,229,300,1,48518,test,6
img/Slub_Knit_Tank/img_00000006.jpg,60,46,161,253,3,36243,val,17
img/Pleated_Chiffon_Blouse/img_00000018.jpg,1,36,213,300,4,28639,val,3
img/Micro-Striped_Crew_Neck_Tee/img_00000005.jpg,67,77,233,276,5,120292,train,18
img/Braided_Racerback_Athletic_Tank/img_00000023.jpg,45,59,145,256,3,40743,test,17
img/Faux_Shearling_Collar_Marled_Jacket/img_00000008.jpg,77,57,130,158,0,91261,train,11
img/Los_Angeles_Graphic_Tank/img_00000014.jpg,72,27,217,300,3,115220,train,17
img/Laid_Back_Striped_Sweater/img_00000034.jpg,55,87,168,256,2,111158,train,16
img/Crochet_Mesh_Tank/img_00000049.jpg,8,85,193,275,3,76064,train,17
img/Rugby_Stripe_Sweater/img_00000059.jpg,33,15,207,266,2,136819,val,16
img/Boxy_Wide_Neck_Tee/img_00000001.jpg,34,19,251,300,5,39603,train,18
img/The_Beatles_Graphic_Tee/img_00000040.jpg,45,1,225,196,5,49472,val,18
img/Ikat_Print_Chiffon_Blouse/img_00000040.jpg,63,70,184,256,4,22794,test,3
img/Chiffon_Maxi_Cardigan/img_00000072.jpg,103,54,169,198,1,64354,test,6
img/Striped_Mandarin_Collar_Blouse/img_00000105.jpg,62,29,228,236,4,2794,train,3
img/Miami_Heat_Graphic_Tee/img_00000060.jpg,1,1,236,236,5,120010,train,18
img/Finish_Line_Athletic_Tank/img_00000017.jpg,32,1,240,300,3,92801,train,17
img/High-Neck_Sheer_Blouse/img_00000101.jpg,86,58,157,212,4,22590,train,3
img/Embroidered_Bead_Keyhole_Blouse/img_00000066.jpg,69,92,243,270,4,17669,train,3
img/Side-Slit_Tee/img_00000012.jpg,49,69,206,280,5,33931,train,18
img/Island_Graphic_Boxy_Tee/img_00000004.jpg,52,34,105,146,5,107296,train,18
img/Scalloped_Crochet_Tank/img_00000030.jpg,87,44,139,98,3,137383,val,17
img/Longline_Crochet_Cardigan/img_00000013.jpg,83,76,183,249,1,113535,val,6
img/Embroidered_Floral_Pattern_Blouse/img_00000038.jpg,63,10,249,300,4,17855,train,3
